Year,Degree,Experience,Billing
2016,Bachelor,6,21750000
2016,Bachelor,7,23250000
2016,Bachelor,8,24750000
2016,Bachelor,9,26250000
2016,Bachelor,10,27750000
2016,Bachelor,11,29250000
2016,Bachelor,12,30750000
2016,Bachelor,13,32250000
2016,Bachelor,14,33750000
2016,Bachelor,15,35250000
2016,Bachelor,16,36750000
2016,Bachelor,17,38250000
2016,Bachelor,18,39750000
2016,Bachelor,19,41250000
2016,Bachelor,20,42750000
2016,Bachelor,21,44250000
2016,Bachelor,22,45750000
2016,Bachelor,23,47250000
2016,Bachelor,24,48750000
2016,Bachelor,25,50250000
2016,Master,5,28000000
2016,Master,6,30000000
2016,Master,7,31750000
2016,Master,8,33500000
2016,Master,9,35500000
2016,Master,10,37250000
2016,Master,11,39000000
2016,Master,12,41000000
2016,Master,13,42750000
2016,Master,14,44500000
2016,Master,15,46500000
2016,Master,16,48250000
2016,Master,17,50000000
2016,Master,18,52000000
2016,Master,19,53750000
2016,Master,20,55500000
2016,Master,21,57500000
2016,Master,22,59250000
2016,Master,23,61000000
2016,Master,24,63000000
2016,Master,25,64750000
2016,Doctorate,8,40000000
2016,Doctorate,9,42000000
2016,Doctorate,10,44000000
2016,Doctorate,11,46000000
2016,Doctorate,12,48000000
2016,Doctorate,13,50000000
2016,Doctorate,14,52000000
2016,Doctorate,15,54000000
2016,Doctorate,16,56000000
2016,Doctorate,17,58000000
2016,Doctorate,18,60000000
2016,Doctorate,19,62000000
2016,Doctorate,20,64000000
2016,Doctorate,21,66000000
2016,Doctorate,22,68000000
2016,Doctorate,23,70000000
2016,Doctorate,24,72000000
2016,Doctorate,25,74000000
2017,Bachelor,3,17750000
2017,Bachelor,4,19250000
2017,Bachelor,5,20750000
2017,Bachelor,6,22250000
2017,Bachelor,7,23750000
2017,Bachelor,8,25250000
2017,Bachelor,9,26750000
2017,Bachelor,10,28250000
2017,Bachelor,11,29750000
2017,Bachelor,12,31250000
2017,Bachelor,13,32750000
2017,Bachelor,14,34250000
2017,Bachelor,15,35750000
2017,Bachelor,16,37250000
2017,Bachelor,17,38750000
2017,Bachelor,18,40250000
2017,Bachelor,19,41750000
2017,Bachelor,20,43250000
2017,Bachelor,21,44750000
2017,Bachelor,22,46250000
2017,Bachelor,23,47750000
2017,Bachelor,24,49250000
2017,Bachelor,25,50750000
2017,Master,5,29250000
2017,Master,6,31000000
2017,Master,7,32750000
2017,Master,8,34750000
2017,Master,9,36500000
2017,Master,10,38250000
2017,Master,11,40250000
2017,Master,12,42000000
2017,Master,13,43750000
